date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
05:39:58	122/122	---M--	502	error ('Bad%20Gateway')	text/html	date:Thu,%2019%20Oct%202023%2003:39:58%20GMT	https://angels-e-club.webflow.io/robots.txt		(from )
05:39:58	23500/23500	---M-Z	200	added ('OK')	text/html	date:Thu,%2019%20Oct%202023%2003:39:57%20GMT	https://angels-e-club.webflow.io/	C:/Users/osoha/OneDrive/Escritorio/index-club/angels-e-club.webflow.io/index.html	(from )
05:39:58	93437/93437	---M-Z	200	added ('OK')	text/css	etag:%22805e90de5f3543107cb46fbfe760096e%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/css/angels-e-club.webflow.2830f4df9.css	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/css/angels-e-club.webflow.2830f4df9.css	(from https://angels-e-club.webflow.io/)
05:39:58	13188/13188	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/Users/osoha/OneDrive/Escritorio/index-club/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://angels-e-club.webflow.io/)
05:39:59	3290/3290	---M--	200	added ('OK')	image/png	etag:%225d19a6dc030c169dc83ff100058d12a5%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/651210b25c0f9212c20bf292_webclip.png	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/651210b25c0f9212c20bf292_webclip.png	(from https://angels-e-club.webflow.io/)
05:39:59	17726/17726	---M--	200	added ('OK')	image/png	etag:%22086e01db1b286e4165a93547924cff45%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/65121d1670ad7f9398d36ed0_image-removebg-preview%20(1).png	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/65121d1670ad7f9398d36ed0_image-removebg-preview%20(1).png	(from https://angels-e-club.webflow.io/)
05:40:00	78126/78126	---M--	200	added ('OK')	image/png	etag:%22857ef59a4fa325f3f0e16455feb6382b%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/6512222cf41c615d878d8314_image-removebg-preview%20(2).png	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/6512222cf41c615d878d8314_image-removebg-preview%20(2).png	(from https://angels-e-club.webflow.io/)
05:40:00	1862745/1862745	---M--	200	added ('OK')	image/png	etag:%22afaddd8ed84364a1edc177625439bb9e%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/651210b25c0f9212c20bf27c_Vector%201.png	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/651210b25c0f9212c20bf27c_Vector%201.png	(from https://angels-e-club.webflow.io/)
05:40:00	142888/142888	---M--	200	added ('OK')	image/png	etag:%22d43c8ab2b9d9aa5689737ff5c15af3a1%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/65121975616c09ef703cb62c_ARQUEROJAJA.png	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/65121975616c09ef703cb62c_ARQUEROJAJA.png	(from https://angels-e-club.webflow.io/)
05:40:01	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=651210b15c0f9212c20bf21d	C:/Users/osoha/OneDrive/Escritorio/index-club/d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8658e.js	(from https://angels-e-club.webflow.io/)
05:40:01	673010/673010	---M--	200	added ('OK')	image/png	etag:%2254b1f56c6fb482f6511fcbcefe957075%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/65121c07c6136c95b441f9bf_BALONJAJA2-removebg-preview%20(1)_REDIMENSION.png	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/65121c07c6136c95b441f9bf_BALONJAJA2-removebg-preview%20(1)_REDIMENSION.png	(from https://angels-e-club.webflow.io/)
05:40:02	2185510/2185510	---M-Z	200	added ('OK')	text/javascript	etag:%22a3e5f3bc77e1bb81bd12fc01cb2fed6e%22	https://assets-global.website-files.com/651210b15c0f9212c20bf21d/js/webflow.90d78aa9f.js	C:/Users/osoha/OneDrive/Escritorio/index-club/assets-global.website-files.com/651210b15c0f9212c20bf21d/js/webflow.90d78aa9f.js	(from https://angels-e-club.webflow.io/)
